docker compose -f docker-compose-dev.yaml logs -f
server   | 2023-03-30 18:49:44 DEBUG    action: config | result: success | port: 12345 | listen_backlog: 5 | logging_level: DEBUG
server   | 2023-03-30 18:49:44 INFO     action: accept_connections | result: in_progress
server   | 2023-03-30 18:49:46 INFO     action: accept_connections | result: success | ip: 172.25.125.3
server   | 2023-03-30 18:49:46 INFO     action: accept_connections | result: in_progress
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:46 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
server   | 2023-03-30 18:49:47 INFO     action: apuesta_almacenada | result: success | agency: 2 | n: 50
